Year,Gasoline,Diesel,Kerosene,Car
1970,29.72,15.31,17.43,130000
1971,36.34,18.54,22.75,140000
1972,46.87,24.07,29.57,150000
1973,54.81,27.92,33.84,170000
1974,169.65,61.88,71.51,180000
1975,191.31,68.1,70.64,190000
1976,206,73,71.8,220000
1977,199.35,69.54,72.26,280000
1978,197.95,69.2,73.78,380000
1979,292.37,93.81,95.45,490000
1980,580.82,178.41,184.62,530000
1981,697.7,265.08,257.74,570000
1982,740,286,292,650000
1983,667.89,283.27,292.28,790000
1984,660,281,291,950000
1985,660,281,291,1110000
1986,587.53,241.45,249.17,1310000
1987,558.4,228.15,234.73,1610000
1988,445.45,190.22,194.65,2040000
1989,380.55,182,186,2660000
1990,383.54,182,191.27,3390000
1991,480.73,182,226.91,4250000
1992,555.82,198.66,235.78,5230000
1993,510,214,254,6270000
1994,610.98,227.06,271.03,7400000
1995,598,239.39,261.58,8470000
1996,675.77,300.78,314.68,9550000
1997,838.65,376.15,373.52,10410000
1998,1122.57,553.47,524.23,10470000
1999,1191.91,521.82,491.23,11160000
2000,1248.35,612.78,559.57,12060000
2001,1280,644.58,580.24,12910000
2002,1269.1,677.58,554.43,13950000
2003,1294.76,772.03,638.76,14590000
2004,1365.29,907.93,752.16,14930000
2005,1432.25,1079.73,870.99,15400000
2006,1492.43,1228.17,931.89,15900000
2007,1525.87,1272.73,932.16,16430000
2008,1692.14,1614.44,1238.66,16790000
2009,1600.72,1397.47,976.23,17330000
2010,1710.41,1502.8,1076,17940000
2011,1929.26,1745.71,1321.22,18440000
2012,1985.76,1806.34,1394.07,18870000
2013,1924.48,1729.61,1366.68,19400000
2014,1827.28,1636.68,1296.72,20120000
2015,1510.4,1299.57,947.39,20990000
2016,1402.64,1182.54,784.48,21800000
2017,1491.3,1282.53,853.08,22530000
2018,1581.37,1391.9,942.34,23200000
2019,1472.44,1340.52,961.66,23680000
2020,1381.39,1189.65,853.8,24370000
